1,H,hydrogen,1,"[0.999 72, 0.999 99]",m
,,,2,"[0.000 01, 0.000 28]",
2,He,helium,3, 0.000 002(2),g r
,,,4, 0.999 998(2),
3,Li,lithium,6,"[0.019, 0.078]",m
,,,7,"[0.922, 0.981]",
4,Be,beryllium,9, 1,
5,B,boron,10,"[0.189, 0.204]",m
,,,11,"[0.796, 0.811]",
6,C,carbon,12,"[0.9884, 0.9904]",
,,,13,"[0.0096, 0.0116]",
7,N,nitrogen,14,"[0.995 78, 0.996 63]",
,,,15,"[0.003 37, 0.004 22]",
8,O,oxygen,16,"[0.997 38, 0.997 76]",
,,,17,"[0.000 367, 0.000 400]",
,,,18,"[0.001 87, 0.002 22]",
9,F,fluorine,19, 1,
10,Ne,neon,20, 0.9048(3),g m
,,,21, 0.0027(1),
,,,22, 0.0925(3),
11,Na,sodium,23, 1,
12,Mg,magnesium,24,"[0.7888, 0.7905]",
,,,25,"[0.099 88, 0.100 34]",
,,,26,"[0.1096, 0.1109]",
13,Al,aluminium,27, 1,
14,Si,silicon,28,"[0.921 91, 0.923 18]",
,,,29,"[0.046 45, 0.046 99]",
,,,30,"[0.030 37, 0.031 10]",
15,P,phosphorus,31, 1,
16,S,sulfur,32,"[0.9441, 0.9529]",
,,,33,"[0.007 29, 0.007 97]",
,,,34,"[0.0396, 0.0477]",
,,,36,"[0.000 129, 0.000 187]",
17,Cl,chlorine,35,"[0.755, 0.761]",m
,,,37,"[0.239, 0.245]",
18,Ar,argon,36,"[0.0000, 0.0207]",g r
,,,38,"[0.000, 0.043]",
,,,40,"[0.936, 1.000]",
19,K,potassium,39, 0.932 581(44),
,,,40, 0.000 117(1),
,,,41, 0.067 302(44),
20,Ca,calcium,40, 0.969 41(156),g
,,,42, 0.006 47(23),
,,,43, 0.001 35(10),
,,,44, 0.020 86(110),
,,,46, 0.000 04(3),
,,,48, 0.001 87(21),
21,Sc,scandium,45, 1,
22,Ti,titanium,46, 0.0825(3),
,,,47, 0.0744(2),
,,,48, 0.7372(3),
,,,49, 0.0541(2),
,,,50, 0.0518(2),
23,V,vanadium,50, 0.002 50(10),
,,,51, 0.997 50(10),
24,Cr,chromium,50, 0.043 45(13),
,,,52, 0.837 89(18),
,,,53, 0.095 01(17),
,,,54, 0.023 65(7),
25,Mn,manganese,55, 1,
26,Fe,iron,54, 0.058 45(105),
,,,56, 0.917 54(106),
,,,57, 0.021 19(29),
,,,58, 0.002 82(12),
27,Co,cobalt,59, 1,
28,Ni,nickel,58, 0.680 769(190),r
,,,60, 0.262 231(150),
,,,61, 0.011 399(13),
,,,62, 0.036 345(40),
,,,64, 0.009 256(19),
29,Cu,copper,63, 0.6915(15),r
,,,65, 0.3085(15),
30,Zn,zinc,64, 0.4917(75),r
,,,66, 0.2773(98),
,,,67, 0.0404(16),
,,,68, 0.1845(63),
,,,70, 0.0061(10),
31,Ga,gallium,69, 0.601 08(50),
,,,71, 0.398 92(50),
32,Ge,germanium,70, 0.2052(19),
,,,72, 0.2745(15),
,,,73, 0.0776(8),
,,,74, 0.3652(12),
,,,76, 0.0775(12),
33,As,arsenic,75, 1,
34,Se,selenium,74, 0.0086(3),r
,,,76, 0.0923(7),
,,,77, 0.0760(7),
,,,78, 0.2369(22),
,,,80, 0.4980(36),
,,,82, 0.0882(15),
35,Br,bromine,79,"[0.505, 0.508]",
,,,81,"[0.492, 0.495]",
36,Kr,krypton,78, 0.003 55(3),g m
,,,80, 0.022 86(10),
,,,82, 0.115 93(31),
,,,83, 0.115 00(19),
,,,84, 0.569 87(15),
,,,86, 0.172 79(41),
37,Rb,rubidium,85, 0.7217(2),g
,,,87, 0.2783(2),
38,Sr,strontium,84, 0.0056(2),g r
,,,86, 0.0986(20),
,,,87, 0.0700(20),
,,,88, 0.8258(35),
39,Y,yttrium,89, 1,
40,Zr,zirconium,90, 0.5145(4),g
,,,91, 0.1122(5),
,,,92, 0.1715(3),
,,,94, 0.1738(4),
,,,96, 0.0280(2),
41,Nb,niobium,93, 1,
42,Mo,molybdenum,92, 0.146 49(106),g
,,,94, 0.091 87(33),
,,,95, 0.158 73(30),
,,,96, 0.166 73(8),
,,,97, 0.095 82(15),
,,,98, 0.242 92(80),
,,,100, 0.097 44(65),
43,Tc,technetium,[97],-,
44,Ru,ruthenium,96, 0.0554(14),g
,,,98, 0.0187(3),
,,,99, 0.1276(14),
,,,100, 0.1260(7),
,,,101, 0.1706(2),
,,,102, 0.3155(14),
,,,104, 0.1862(27),
45,Rh,rhodium,103, 1,
46,Pd,palladium,102, 0.0102(1),g
,,,104, 0.1114(8),
,,,105, 0.2233(8),
,,,106, 0.2733(3),
,,,108, 0.2646(9),
,,,110, 0.1172(9),
47,Ag,silver,107, 0.518 39(8),g
,,,109, 0.481 61(8),
48,Cd,cadmium,106, 0.012 45(22),g
,,,108, 0.008 88(11),
,,,110, 0.124 70(61),
,,,111, 0.127 95(12),
,,,112, 0.241 09(7),
,,,113, 0.122 27(7),
,,,114, 0.287 54(81),
,,,116, 0.075 12(54),
49,In,indium,113, 0.042 81(52),
,,,115, 0.957 19(52),
50,Sn,tin,112, 0.0097(1),g
,,,114, 0.0066(1),
,,,115, 0.0034(1),
,,,116, 0.1454(9),
,,,117, 0.0768(7),
,,,118, 0.2422(9),
,,,119, 0.0859(4),
,,,120, 0.3258(9),
,,,122, 0.0463(3),
,,,124, 0.0579(5),
51,Sb,antimony,121, 0.5721(5),g
,,,123, 0.4279(5),
52,Te,tellurium,120, 0.0009(1),g
,,,122, 0.0255(12),
,,,123, 0.0089(3),
,,,124, 0.0474(14),
,,,125, 0.0707(15),
,,,126, 0.1884(25),
,,,128, 0.3174(8),
,,,130, 0.3408(62),
53,I,iodine,127, 1,
54,Xe,xenon,124, 0.000 95(5),g m
,,,126, 0.000 89(3),
,,,128, 0.019 10(13),
,,,129, 0.264 01(138),
,,,130, 0.040 71(22),
,,,131, 0.212 32(51),
,,,132, 0.269 09(55),
,,,134, 0.104 36(35),
,,,136, 0.088 57(72),
55,Cs,caesium,133, 1,
56,Ba,barium,130, 0.0011(1),
,,,132, 0.0010(1),
,,,134, 0.0242(15),
,,,135, 0.0659(10),
,,,136, 0.0785(24),
,,,137, 0.1123(23),
,,,138, 0.7170(29),
57,La,lanthanum,138, 0.000 8881(71),g
,,,139, 0.999 1119(71),
58,Ce,cerium,136, 0.001 85(2),g
